"","affy_hg_u133_plus_2","external_gene_name"
"272","202259_s_at","N4BP2L2"
"273","202258_s_at","N4BP2L2"
"274","200814_at","PSME1"
"275","201346_at","ADIPOR2"
"276","204742_s_at","PDS5B"
"277","200873_s_at","CCT8"
"278","201762_s_at","PSME2"
"279","204127_at","RFC3"
"280","204128_s_at","RFC3"
"281","201740_at","NDUFS3"
"282","204194_at","BACH1"
"283","203882_at","AL136295.10"
"284","203882_at","IRF9"
"285","200642_at","SOD1"
"286","201840_at","NEDD8"
"287","204785_x_at","IFNAR2"
"288","204786_s_at","IFNAR2"
"289","204191_at","IFNAR1"
"290","201085_s_at","SON"
"291","201086_x_at","SON"
"292","202723_s_at","AL133318.1"
"293","202724_s_at","FOXO1"
"294","202723_s_at","FOXO1"
"295","202344_at","HSF1"
"296","200818_at","AP000311.1"
"297","203597_s_at","WBP4"
"298","203598_s_at","WBP4"
"299","203599_s_at","WBP4"
"300","203669_s_at","DGAT1"
"301","203669_s_at","MIR6848"
"302","203573_s_at","RABGGTA"
"303","201639_s_at","CPSF1"
"304","201638_s_at","CPSF1"
"305","203156_at","AKAP11"
"306","201639_s_at","MIR939"
"307","201638_s_at","MIR6849"
"308","202651_at","AL512506.2"
"309","200818_at","ATP5PO"
"310","203880_at","COX17P1"
"311","202930_s_at","SUCLA2"
"312","204775_at","CHAF1B"
"313","203132_at","RB1"
"314","204759_at","RCBTB2"
"315","201762_s_at","PSME2P2"
"316","202304_at","FNDC3A"
"317","203635_at","VPS26C"
"318","203659_s_at","TRIM13"
"319","202065_s_at","PPFIA1"
"320","201328_at","ETS2"
"321","201329_s_at","ETS2"
"322","201059_at","CTTN"
"323","203523_at","LSP1"
"324","203405_at","PSMG1"
"325","203405_at","BRWD1"
"326","200944_s_at","HMGN1"
"327","200943_at","HMGN1"
"328","202749_at","GET1"
"329","204800_s_at","AL162377.3"
"330","204800_s_at","DHRS12"
"331","204801_s_at","DHRS12"
"332","204624_at","ATP7B"
"333","202086_at","MX1"
"334","202345_s_at","FABP5P2"
"335","203614_at","ALG11"
"336","203614_at","UTP14C"
"337","204309_at","CYP11A1"
"338","204375_at","CLSTN3"
"339","203244_at","PEX5"
"340","204567_s_at","ABCG1"
"341","204623_at","TFF3"
"342","202345_s_at","FABP5P1"
"343","203387_s_at","TBC1D4"
"344","203386_at","TBC1D4"
"345","204616_at","UCHL3"
"346","204616_at","AL137782.1"
"347","202674_s_at","LMO7"
"348","204195_s_at","PKNOX1"
"349","204085_s_at","CLN5"
"350","204084_s_at","CLN5"
"351","201959_s_at","MYCBP2"
"352","201960_s_at","MYCBP2"
"353","202858_at","U2AF1"
"354","202671_s_at","PDXK"
"355","204273_at","EDNRB"
"356","204271_s_at","EDNRB"
"357","202217_at","GATD3A"
"358","201201_at","CSTB"
"359","204011_at","SPRY2"
"360","200772_x_at","PTMAP5"
"361","200773_x_at","PTMAP5"
"362","201102_s_at","PFKL"
"363","203996_s_at","AP001062.3"
"364","203994_s_at","AP001062.3"
"365","203996_s_at","CFAP410"
"366","203994_s_at","CFAP410"
"367","203995_at","CFAP410"
"368","203196_at","ABCC4"
"369","204557_s_at","DZIP1"
"370","204556_s_at","DZIP1"
"371","200739_s_at","SUMO3"
"372","200740_s_at","SUMO3"
"373","202803_s_at","ITGB2"
"374","203640_at","MBNL2"
"375","200677_at","PTTG1IP"
"376","203865_s_at","ADARB1"
"377","201911_s_at","FARP1"
"378","201910_at","FARP1"
"379","201078_at","TM9SF2"
"380","203860_at","PCCA"
"381","204544_at","HPS5"
"382","203374_s_at","TPP2"
"383","203375_s_at","TPP2"
"384","203660_s_at","PCNT"
"385","202453_s_at","GTF2H1"
"386","202451_at","GTF2H1"
"387","202414_at","BIVM-ERCC5"
"388","200650_s_at","LDHA"
"389","202414_at","ERCC5"
"390","202098_s_at","PRMT2"
"391","200650_s_at","AC084117.2"
"392","202669_s_at","EFNB2"
"393","202668_at","EFNB2"
"394","202547_s_at","ARHGEF7"
"395","202548_s_at","ARHGEF7"
"396","202801_at","PRKACA"
"397","202345_s_at","FABP5P11"
"398","203488_at","ADGRL1"
"399","200035_at","CTDNEP1"
"400","201424_s_at","CUL4A"
"401","201423_s_at","CUL4A"
"402","201551_s_at","LAMP1"
"403","201553_s_at","LAMP1"
"404","201552_at","LAMP1"
"405","202790_at","CLDN7"
"406","204147_s_at","TFDP1"
"407","201123_s_at","EIF5A"
"408","201122_x_at","EIF5A"
"409","202177_at","GAS6"
"410","1598_g_at","GAS6"
"411","202717_s_at","CDC16"
"412","201672_s_at","USP14"
"413","201671_x_at","USP14"
"414","204493_at","BID"
"415","204064_at","THOC1"
"416","202589_at","TYMS"
"417","204143_s_at","ENOSF1"
"418","204142_at","ENOSF1"
"419","202933_s_at","YES1"
"420","202932_at","YES1"
"421","203957_at","E2F6P1"
"422","204162_at","NDC80"
"423","202460_s_at","LPIN2"
"424","202459_s_at","LPIN2"
"425","202099_s_at","DGCR2"
"426","204383_at","ESS2"
"427","201318_s_at","MYL12A"
"428","201318_s_at","MYL12B"
"429","203313_s_at","TGIF1"
"430","203152_at","MRPL40"
"431","204473_s_at","AP002472.1"
"432","204126_s_at","CDC45"
"433","204482_at","CLDN5"
"434","200034_s_at","RPL6P27"
"435","203329_at","PTPRM"
"436","202941_at","NDUFV2"
"437","202941_at","AP005263.1"
"438","202845_s_at","RALBP1"
"439","202844_s_at","RALBP1"
"440","201594_s_at","PPP4R1"
"441","202483_s_at","RANBP1"
"442","202482_x_at","RANBP1"
"443","204432_at","SOX12"
"444","203126_at","IMPA2"
"445","203412_at","AC002470.2"
"446","203412_at","LZTR1"
"447","202486_at","AFG3L2"
"448","203957_at","E2F6P2"
"449","203957_at","E2F6P3"
"450","200676_s_at","UBE2L3"
"451","200684_s_at","UBE2L3"
"452","200683_s_at","UBE2L3"
"453","200682_s_at","UBE2L3"
"454","201052_s_at","PSMF1"
"455","201053_s_at","PSMF1"
"456","203063_at","PPM1F"
"457","200709_at","FKBP1A"
"458","202897_at","SIRPA"
"459","202895_s_at","SIRPA"
"460","202896_s_at","SIRPA"
"461","202684_s_at","RNMT"
"462","202683_s_at","RNMT"
"463","200875_s_at","NOP56"
"464","200874_s_at","NOP56"
"465","202315_s_at","BCR"
"466","200874_s_at","SNORA51"
"467","200874_s_at","SNORD86"
"468","201509_at","IDH3B"
"469","203459_s_at","VPS16"
"470","202690_s_at","SNRPD1"
"471","202691_at","SNRPD1"
"472","203344_s_at","RBBP8"
"473","204598_at","UBOX5"
"474","204447_at","LZTS3"
"475","202130_at","RIOK3"
"476","202129_s_at","RIOK3"
"477","202131_s_at","RIOK3"
"478","202679_at","NPC1"
"479","202929_s_at","AC253536.7"
"480","202624_s_at","CABIN1"
"481","203726_s_at","LAMA3"
"482","201853_s_at","CDC25B"
"483","204669_s_at","RNF24"
"484","204668_at","RNF24"
"485","201300_s_at","PRNP"
"486","202567_at","SNRPD3"
"487","202567_at","AP000356.5"
"488","203185_at","RASSF2"
"489","201202_at","PCNA"
"490","204260_at","CHGB"
"491","204183_s_at","GRK3"
"492","204184_s_at","GRK3"
"493","202816_s_at","SS18"
"494","202817_s_at","SS18"
"495","201580_s_at","TMX4"
"496","201581_at","TMX4"
"497","202533_s_at","DHFRP1"
"498","203896_s_at","PLCB4"
"499","203895_at","PLCB4"
"500","203441_s_at","CDH2"
"501","203440_at","CDH2"
"502","202751_at","TFIP11"
"503","202750_s_at","TFIP11"
"504","204750_s_at","DSC2"
"505","204751_x_at","DSC2"
"506","204079_at","TPST2"
"507","200680_x_at","HMGB1P10"
"508","202508_s_at","SNAP25"
"509","202507_s_at","SNAP25"
"510","202522_at","PITPNB"
"511","202946_s_at","BTBD3"
"512","200016_x_at","HNRNPA1P7"
"513","202505_at","SNRPB2"
"514","204870_s_at","PCSK2"
"515","204869_at","PCSK2"
"516","201021_s_at","DSTN"
"517","201022_s_at","DSTN"
"518","201204_s_at","RRBP1"
"519","201206_s_at","RRBP1"
