"","logFC","AveExpr","t","P.Value","adj.P.Val","B","hu_gene_name"
"201556_s_at",0.067376092222505,4.64338769500662,1.39368794819012,0.185104793961994,0.605134095196451,-5.14250693808687,"VAMP2"
"218745_x_at",-0.0775181463003382,6.85746712620912,-1.39349157369474,0.185162892279811,0.605209317044188,-5.14274896635613,"TMEM161A"
"209162_s_at",0.0618708389448443,8.99643298129419,1.39332934461193,0.185210899802857,0.605251534634271,-5.1429488918859,"PRPF4"
"219586_at",-0.0689352164096869,4.11276657118392,-1.39305282444446,0.185292752372204,0.605380742410464,-5.1432896259889,"WDR59"
"222318_at",0.114584506961666,4.71311106893262,1.39279926291502,0.185367835052821,0.605380742410464,-5.14360202584271,"ZNF324B"
"201937_s_at",0.0677514653748564,8.01162501147201,1.39275489479415,0.18538097556355,0.605380742410464,-5.14365668513638,"DNPEP"
"206396_at",0.0777476016965915,3.23966400808026,1.39255624379821,0.185439819419831,0.605380742410464,-5.14390139732259,"SLC1A1"
"221894_at",-0.0740061929136779,5.79154811633233,-1.39253348317652,0.185446562487439,0.605380742410464,-5.14392943379305,"ADCK2"
"207661_s_at",0.0706193545269046,3.81285544879121,1.39248465217027,0.185461029852556,0.605380742410464,-5.14398958254271,"SH3PXD2A"
"206162_x_at",0.062403814756542,3.59074510528727,1.39195246428194,0.185618763410589,0.605408325682313,-5.14464501604243,"SYT5"
"215968_at",0.0691008841137965,4.24324295184868,1.39191420846165,0.185630106175529,0.605408325682313,-5.14469212408847,NA
"211551_at",-0.0845608210758874,3.66424475131881,-1.39185210057333,0.185648522235909,0.605408325682313,-5.14476860141676,NA
"203632_s_at",-0.118637355376637,3.56653796698906,-1.39180863307215,0.185661411991324,0.605408325682313,-5.14482212416269,"GPRC5B"
"210623_at",0.0724020610187849,4.06661334758785,1.39174468971909,0.185680374944146,0.605408325682313,-5.14490085713947,"UBXN1"
"213513_x_at",0.0718456776903898,11.2319721064293,1.39162576397546,0.185715647623903,0.605408325682313,-5.14504728238138,"ARPC2"
"212947_at",0.104076814992519,4.38889949576457,1.39144003989987,0.185770743290739,0.605408325682313,-5.14527593331098,"SLC9A8"
"202601_s_at",-0.0559057001219729,9.05506605239033,-1.39141523434491,0.185778102956086,0.605408325682313,-5.14530647051778,"HTATSF1"
"214985_at",-0.0909905734951689,3.4406679554131,-1.3912952750908,0.185813697550607,0.605408325682313,-5.14545414223901,"EXT1"
"202832_at",-0.0631954596586983,7.91269865394519,-1.39127241207897,0.185820482152259,0.605408325682313,-5.14548228589171,"GCC2"
"205232_s_at",-0.0868433447067548,5.70542995180243,-1.39098856041886,0.185904732088196,0.605568426639698,-5.14583166979759,"PAFAH2"
"208998_at",0.0633592754684062,9.91789841476055,1.39043971822426,0.186067722632509,0.605857848491376,-5.14650707183021,"UCP2"
"32502_at",0.124237496523731,6.39001947586617,1.39030877709636,0.1861066257356,0.605857848491376,-5.14666817796089,"GDPD5"
"204256_at",-0.0858630140906051,6.22627400851586,-1.39026962259311,0.186118259981404,0.605857848491376,-5.14671635032556,"ELOVL6"
"205269_at",0.0688858707463672,8.38990804248824,1.39017192031141,0.186147293530216,0.605857848491376,-5.1468365504913,"LCP2"
"212673_at",-0.054732973614672,9.21108065337022,-1.3900981640769,0.186169213648208,0.605857848491376,-5.14692728639984,"METAP1"
"203279_at",-0.0934857270059816,8.29605982482427,-1.38960615768244,0.186315490529851,0.606219502105051,-5.14753246771043,"EDEM1"
"218717_s_at",-0.0733337779157928,3.26721977617906,-1.38921981126514,0.186430420002597,0.606346592362852,-5.148007572728,"P3H2"
"208835_s_at",0.0725430149319945,10.262785756217,1.38909131405824,0.186468657941359,0.606346592362852,-5.14816556890759,"LUC7L3"
"217850_at",-0.0583621423750679,9.97609922637462,-1.38905086233369,0.186480696813977,0.606346592362852,-5.1482153048443,"GNL3"
