ID_REF,3-28-PD1_rep1,3-28-PD1_rep2,3-28-PD1_rep3,3-28-PD1_rep4,3-28-PD1_rep5,3-28-PD1_rep6,3-28_rep1,3-28_rep3,3-28_rep4,3-28_rep5,3-28_rep6
205972_at,14.3850853,13.20855742,12.73460117,11.90954437,12.07814642,11.78699023,11.64737421,13.49068003,11.07994927,12.51488012,11.90954437
205973_at,15.74702372,15.74702372,15.91866107,16.99765796,15.24592358,15.74702372,14.33546486,17.88529845,15.12633746,15.8575561,15.74702372
205974_at,10.33351593,10.24199901,10.08956231,10.33351593,10.33351593,10.0176835,10.16123912,10.33351593,10.69823628,10.74342766,11.38315588
205975_s_at,12.51298553,12.36662861,12.36662861,12.22984769,12.36662861,12.26230214,12.69341494,13.30410112,12.10183909,11.88083903,11.88331707
205976_at,16.35031927,16.22393028,15.24337924,15.1841685,14.49391844,20.30469486,18.82557499,16.76997828,18.92328675,18.21683796,16.0349373
205977_s_at,13.91136063,10.72318016,11.02156181,11.54936594,10.87020468,10.44217134,10.51740598,8.882344596,11.73177127,10.10431762,11.02156181
205978_at,8.305533944,7.910193874,8.452407239,7.886277939,7.575129402,7.575129402,7.07006514,7.108063756,7.945967582,7.305511821,7.575129402
205979_at,7.182203361,7.705943503,7.455587312,7.601197117,7.182203361,7.182203361,8.080294677,6.619097317,6.333745242,7.030958533,7.448782803
205980_s_at,8.680944818,8.680944818,8.22267553,8.680944818,8.680944818,8.322015572,8.680944818,8.929305664,9.917967586,8.442001648,7.74631097
205981_s_at,546.4709951,477.7523188,511.9214721,473.1772256,477.6919423,464.920694,453.5317929,520.3214462,500.8713785,478.437633,493.7215018
205982_x_at,13.27527491,12.96490234,12.51318148,12.83690968,12.49444459,10.51424053,13.2399091,13.69446444,13.46391606,11.98092147,14.44022351
205983_at,10.15348096,11.0129457,10.30593888,9.837361559,9.141021699,8.999523769,10.85049178,10.30593888,10.30593888,10.30593888,10.30593888
205984_at,10.99875554,9.890081845,11.23795659,8.880606855,10.77537396,9.304463204,8.752558576,9.288964766,10.77753624,9.427565034,11.23868313
205985_x_at,15.69540637,15.82207928,14.85819594,15.54246055,14.85819594,14.85819594,14.85819594,14.10098202,14.66045929,14.42115269,16.50956235
205986_at,13.30123768,15.34201381,13.0586241,14.6995239,14.62930137,14.53860624,16.5581498,14.62930137,14.14766647,15.4246883,15.47978159
205987_at,138.2166749,143.297474,134.2493476,137.2465735,148.9388014,139.2863066,120.726227,129.875231,125.9737652,123.1657386,120.9353326
205988_at,170.010835,151.3173716,162.3355446,167.1477226,153.7189006,153.0727046,155.0084485,168.7577767,162.9385178,174.0103457,157.928312
205989_s_at,9.481703939,7.900945474,9.129401489,8.46366888,9.201916819,8.262365333,8.46366888,8.422438553,8.097631459,8.46366888,7.874744
205990_s_at,48.75341916,57.57723702,56.13502851,58.80354494,57.73159854,54.1658177,65.53542914,57.57723702,60.68161861,57.50647026,63.29014575
205991_s_at,9.987671252,9.987671252,9.558075305,9.987671252,9.380871002,10.04221858,8.577810898,10.12921361,11.75931856,10.17320673,9.587255952
205992_s_at,15.8490109,14.43057279,13.94093561,13.30907177,15.38357915,16.38932914,11.43801495,13.79697289,12.598055,11.75399167,12.86458757
205993_s_at,12.42125976,11.75561526,12.18887275,11.73018063,11.76201834,10.21917333,11.95815991,10.87787581,11.57566619,9.994175099,11.57566619
205994_at,18.50342632,20.69088072,14.14547367,19.51966666,15.9011562,18.58247908,22.59666003,16.35163599,17.78844458,18.97796722,17.21420847
205995_x_at,153.1045435,151.9372937,160.4101291,158.5919722,135.9792361,145.8863996,150.579839,156.785636,144.2859104,173.0878458,129.7119595
205996_s_at,481.6305827,460.6101219,485.9828525,489.0685825,502.0846241,487.2802432,521.6500537,492.4260703,535.5012276,531.7042929,536.1283048
205997_at,12.58443341,9.19626972,9.981731511,11.96921998,10.93173473,10.18800438,10.42579536,11.15894219,10.24627385,10.93173473,11.66986992
205998_x_at,22.70867038,22.62974574,24.22890367,23.37561634,23.56330596,21.95455528,22.90368008,22.70867038,22.70867038,21.06565081,21.90053379
205999_x_at,6.996555085,8.00281169,8.414895569,8.059167659,6.726447382,7.014710063,7.199189181,7.414492053,7.414492053,6.547872396,7.414492053
206000_at,8.097631459,7.817868437,8.354302114,8.065820392,7.770096181,8.674716359,7.691726762,8.909387541,8.721667172,8.097631459,8.097631459
206001_at,12.43955462,13.40144496,11.60579529,11.0157333,13.33984489,14.54543805,12.98774714,12.50461415,12.43955462,11.81636681,10.94736051
206002_at,11.02156181,11.21905925,13.33763998,11.58768202,11.58768202,11.58768202,11.58768202,11.8307815,12.18821006,11.40171664,13.26538529
