"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"1452480_at",-0.00157649999999912,4.701852,-0.0268748959703384,0.979082184230868,0.999954907561919,-5.12771551742739,"Cfap61"
"1432034_at",-0.00136249999999996,5.662399,-0.0268584154602839,0.979095008286891,0.999954907561919,-5.12771583632948,"Neurog3"
"1431803_at",-0.00306724999999944,6.579569875,-0.0268434955134796,0.979106618019945,0.999954907561919,-5.12771612486559,""
"1424235_at",0.00141550000000069,10.03258775,0.0268109978447384,0.97913190561163,0.999954907561919,-5.12771675278157,"Ormdl2"
"1423103_at",-0.00281799999999953,9.24336025,-0.0267378140882884,0.979188852583584,0.999954907561919,-5.1277181640445,"Rfx5"
"1435220_s_at",0.00146450000000019,9.509962,0.0267223316659547,0.979200900041412,0.999954907561919,-5.12771846211059,"Cdc42se2"
"1429531_at",0.00277750000000148,7.738264,0.0266316201958217,0.979271486173838,0.999954907561919,-5.12772020501069,"Smpd4"
"1422521_at",-0.00184274999999931,8.540087875,-0.0266278681267657,0.979274405809131,0.999954907561919,-5.12772027697409,"Dctn1"
"1421138_a_at",-0.00511875000000007,5.985123375,-0.0265955694705388,0.979299538701129,0.999954907561919,-5.12772089603199,"Pkib"
"1431240_at",0.00137349999999983,4.49113175,0.0265783476133622,0.979312939735111,0.999954907561919,-5.1277212258107,"Clec2h"
"1436300_at",-0.00253999999999967,6.8641335,-0.026536410408372,0.979345572823907,0.999954907561919,-5.12772202796654,"Dstyk"
"1452009_at",0.00196025000000106,8.281017875,0.0264869359586316,0.979384071008593,0.999954907561919,-5.12772297266305,"Ttc39b"
"1424243_at",-0.00227874999999942,9.360373125,-0.0264857965575506,0.979384957625944,0.999954907561919,-5.12772299439873,"Rwdd4a"
"1426042_at",-0.0018615000000004,4.6216395,-0.026450537598231,0.979412394164476,0.999954907561919,-5.12772366655104,"Fgd4"
"1451377_a_at",0.00141899999999913,10.51069625,0.0262587073960257,0.979561666127392,0.999954907561919,-5.12772730778397,"Aaas"
"1452171_at",-0.0022252499999989,9.881266875,-0.026256510638423,0.979563375530999,0.999954907561919,-5.12772734932835,"Grwd1"
"1452223_s_at",-0.00254499999999877,7.87366625,-0.0262435987920067,0.97957342286695,0.999954907561919,-5.12772759344284,"Ccser2"
"1422745_at",0.00195675000000002,7.512930125,0.0262345371413335,0.979580474180488,0.999954907561919,-5.12772776469291,NA
"1426895_at",-0.00129774999999878,8.802726625,-0.0261848522213162,0.979619136479252,0.999954907561919,-5.12772870260401,"Zfp24"
"1452528_a_at",-0.00147599999999909,7.5163125,-0.0261662792088739,0.979633589074952,0.999954907561919,-5.12772905275362,"Nkx2-3"
"1418380_at",0.00178200000000056,7.094405,0.026165207392868,0.979634423109163,0.999954907561919,-5.12772907295256,"Terf1"
"1424143_a_at",-0.00330899999999986,10.9142805,-0.0261162899287215,0.979672488287957,0.999954907561919,-5.12772999394758,"Cdt1"
"1431602_a_at",0.00159649999999988,5.055789,0.0260795306615811,0.979701092587479,0.999954907561919,-5.12773068489983,"Uggt2"
"1427351_s_at",-0.00518324999999836,10.721392625,-0.0259995798658296,0.979763306568027,0.999954907561919,-5.12773218434981,"Ighm"
"1425178_s_at",-0.00198825000000009,8.371981125,-0.0259553646681624,0.979797712833813,0.999954907561919,-5.1277330116141,"Shmt1"
"1426630_at",0.00225424999999957,9.942029875,0.02592989024526,0.979817535896528,0.999954907561919,-5.12773348760016,"Exosc2"
"1431611_a_at",0.0023272500000014,5.960432625,0.0259221158933304,0.979823585554237,0.999954907561919,-5.12773363276978,"Cadm1"
"1448903_at",-0.00160474999999961,11.347537625,-0.0258992619319402,0.97984136950655,0.999954907561919,-5.12773405926726,"Selenof"
"1418323_at",-0.00356399999999928,8.14002325,-0.0258702700058835,0.979863929770918,0.999954907561919,-5.12773459976938,"Fem1b"
"1439456_x_at",-0.00254199999999737,11.18626375,-0.0258432189786114,0.979884979728467,0.999954907561919,-5.1277351035411,"Atp6ap2"
"1424865_at",-0.00143625000000008,5.912663125,-0.0258022208815841,0.97991688273263,0.999954907561919,-5.12773586604482,"Pyy"
"1455504_a_at",-0.00142824999999926,10.912105125,-0.0257950295836722,0.979922478703678,0.999954907561919,-5.1277359996675,"Mkrn1"
"1450919_at",0.00227975000000053,10.804570875,0.0257796163235294,0.979934472670025,0.999954907561919,-5.12773628593837,"Mpp1"
"1452376_at",-0.00189374999999796,8.432511625,-0.0257758365507479,0.979937413934848,0.999954907561919,-5.12773635611407,"Zfp444"
"1451233_at",-0.00158475000000021,8.966235625,-0.0256517651502506,0.980033961406503,0.999954907561919,-5.12773865392644,"Traf2"
"1416050_a_at",-0.00149149999999778,8.86168525,-0.0256123435485817,0.980064637813261,0.999954907561919,-5.12773938169707,"Scarb1"
"1456227_x_at",0.00156225000000101,12.714116625,0.0254368317388349,0.980201214910409,0.999954907561919,-5.12774260827562,"Rbbp7"
"1422251_at",0.00243475000000065,6.455030625,0.0253965649619626,0.98023254918995,0.999954907561919,-5.1277433454046,NA
"1417113_at",0.00183975000000091,10.101590625,0.0253943119071475,0.980234302444041,0.999954907561919,-5.12774338661482,"Gmcl1"
"1459884_at",0.00368099999999993,8.10992475,0.0253369646170277,0.980278928279997,0.999954907561919,-5.12774443431333,"Gm22574"
"1437015_x_at",-0.00181774999999987,4.846156875,-0.0252566362030033,0.980341437414901,0.999954907561919,-5.12774589788036,"Pla2g1b"
"1438629_x_at",-0.00230224999999797,11.540570375,-0.0251979836410184,0.980387079147361,0.999954907561919,-5.12774696358281,"Grn"
"1422687_at",-0.0023092499999991,11.144790125,-0.025112822136912,0.980453349506071,0.999954907561919,-5.12774850653633,"Nras"
"1450016_at",0.00160950000000054,12.28200125,0.0250506010065267,0.980501768390403,0.999954907561919,-5.12774963055499,"Ccng1"
"1436298_x_at",0.00291650000000153,10.058912,0.0250256158478005,0.98052121122205,0.999954907561919,-5.12775008112493,"Paics"
"1416603_at",-0.00127149999999978,13.904787,-0.0249837188224407,0.980553814479385,0.999954907561919,-5.12775083566612,"Rpl22"
"1415766_at",-0.00139349999999839,8.10039475,-0.0248875851657007,0.980628623520266,0.999954907561919,-5.12775256219985,"Sec22b"
"1429015_at",0.00147574999999996,6.134282125,0.0248671154685077,0.980644552601817,0.999954907561919,-5.12775292897051,"Glb1l"
"1451920_a_at",-0.00268224999999847,7.441279625,-0.0248210382640204,0.98068040893169,0.999954907561919,-5.1277537534657,"Rfc1"
"1423838_s_at",-0.00150499999999878,10.7305905,-0.02482038679712,0.980680915890114,0.999954907561919,-5.12775376511195,"Ist1"
"1425408_a_at",-0.00171074999999999,4.229228625,-0.024773807415012,0.980717163050691,0.999954907561919,-5.12775459701715,"Pdzph1"
"1455012_s_at",0.00194775000000143,9.863813625,0.0247116190473613,0.980765556888963,0.999954907561919,-5.12775570526248,"Trim37"
"1418759_at",-0.00134499999999979,4.49961475,-0.0246774927238465,0.9807921133979,0.999954907561919,-5.12775631223677,"Ptpn20"
"1439809_at",0.00212850000000075,4.65363175,0.0246645133224929,0.980802213747797,0.999954907561919,-5.12775654286958,"Pramel7"
"1420050_at",0.00191050000000041,4.68743525,0.0246614890238845,0.980804567206168,0.999954907561919,-5.12775659659134,NA
"1449105_at",-0.00204399999999771,11.3421325,-0.0246522483568089,0.980811758139245,0.999954907561919,-5.12775676069601,"Sh2d2a"
"1416138_at",0.00133824999999984,11.295950625,0.0246266768883259,0.980831657439122,0.999954907561919,-5.12775721449824,"Anxa7"
"1424964_at",0.00142950000000031,5.45063875,0.0245890405783919,0.980860945426963,0.999954907561919,-5.12775788155175,NA
"1450898_at",0.00122875000000034,9.163207375,0.0245689794503573,0.980876556695258,0.999954907561919,-5.12775823669179,"Mfsd14a"
"1423869_s_at",-0.00290625000000095,6.798074375,-0.024510356505343,0.980922176238325,0.999954907561919,-5.12775927282674,"Txnrd3"
"1420494_x_at",0.00222000000000111,12.8012445,0.024465229835277,0.980957293221011,0.999954907561919,-5.12776006873514,"Ubc"
"1423686_a_at",-0.00238725000000051,12.101764125,-0.0243990486026302,0.981008794665137,0.999954907561919,-5.1277612333348,"Prr13"
"1418971_x_at",0.0015420000000022,10.02597225,0.0243176480185018,0.981072139751942,0.999954907561919,-5.12776266142579,"Bcl10"
"1428143_a_at",-0.00153899999999884,9.4848165,-0.0242867091087674,0.981096216125437,0.999954907561919,-5.12776320296622,"Pnpla2"
"1455994_x_at",0.00162899999999979,10.8743745,0.0242657468569089,0.981112528767315,0.999954907561919,-5.12776356948809,"Elovl1"
"1417610_at",0.00228000000000048,7.451272,0.0242432995855645,0.981129997048536,0.999954907561919,-5.12776396162445,"Apoa5"
"1429014_at",0.00205125000000029,6.223825375,0.0241871206202524,0.981173715101251,0.999954907561919,-5.12776494143678,"Glb1l"
"1419251_at",-0.00143275000000011,9.512507625,-0.0241051381970866,0.981237513329921,0.999954907561919,-5.1277663672065,"Eps15"
"1456473_x_at",0.00149125000000032,4.551185875,0.0240895114705686,0.981249673970252,0.999954907561919,-5.12776663842424,"Arf2"
"1417702_a_at",0.0017565000000011,4.33481575,0.0240046474624662,0.98131571480418,0.999954907561919,-5.12776810825479,"Hnmt"
"1426810_at",-0.00185324999999923,11.201603375,-0.0239960436949838,0.981322410230113,0.999954907561919,-5.12776825698105,"Kdm3a"
"1460626_at",-0.00171449999999868,9.9062915,-0.0239832831282246,0.981332340467515,0.999954907561919,-5.12776847746434,"Septin11"
"1427838_at",0.0032702500000008,5.618441875,0.0239662460978365,0.981345598642171,0.999954907561919,-5.12776877165565,"Bphl"
"1434606_at",-0.00215774999999982,6.762987625,-0.0239480387075548,0.981359767594559,0.999954907561919,-5.12776908582539,"Erbb3"
"1427932_s_at",0.00315000000000036,13.174329,0.0238321238208946,0.981449972471754,0.999954907561919,-5.12777108034663,NA
"1455929_x_at",0.00130550000000241,12.75443025,0.023788192012503,0.981484160243465,0.999954907561919,-5.12777183374279,"Ppp2r1a"
"1416048_at",-0.00171399999999952,9.91103275,-0.0236864311471172,0.981563350788562,0.999954907561919,-5.12777357352371,"Phc2"
"1451070_at",0.00166375000000074,11.035982125,0.0236384990610421,0.981600651723544,0.999954907561919,-5.12777439042347,"Gdi1"
"1421355_at",0.00166600000000065,7.0353725,0.0235904959112082,0.98163800800716,0.999954907561919,-5.12777520687616,"Tgm3"
"1415907_at",0.00219025000000205,12.366827875,0.0234677545643025,0.981733526128743,0.999954907561919,-5.12777728695347,"Ccnd3"
"1427746_x_at",-0.0013424999999977,14.17498725,-0.0233970974276418,0.981788512113346,0.999954907561919,-5.12777847944791,"H2-K1"
"1418416_x_at",-0.00177774999999864,7.607664625,-0.0232956029872754,0.981867496124629,0.999954907561919,-5.12778018609826,"Psg23"
