"ID_REF"	"GSM958123"	"GSM958124"	"GSM958125"	"GSM958126"	"GSM958127"	"GSM958128"	"GSM958129"	"GSM958130"
"1420354_at"	5.613773	5.59051	5.51645	5.37915	5.700566	5.473405	5.72206	5.636504
"1420355_at"	5.137229	5.378816	4.993981	5.195838	5.226432	5.058549	5.063072	4.967753
"1420356_at"	7.712702	8.033347	7.899417	8.072531	7.956834	8.006533	7.896671	8.150312
"1420357_s_at"	7.282144	6.790438	7.207243	7.120032	7.202168	6.750672	7.221275	7.402736
"1420358_at"	5.276779	5.316815	5.396687	5.273672	5.515262	5.138113	5.234907	5.488758
"1420359_at"	5.341637	5.535226	5.419697	5.354776	5.47155	5.323924	5.492288	5.334743
"1420360_at"	5.217919	5.156511	5.114849	4.991077	5.165106	5.118146	5.284551	5.180393
"1420361_at"	6.270956	6.173893	6.393924	6.204792	6.184793	6.150084	6.240345	6.218649
"1420362_a_at"	5.871281	6.236091	5.728217	5.859513	5.908547	5.805494	5.605243	5.7964
"1420363_at"	7.486503	7.48869	7.529312	7.322931	7.689902	7.446179	7.726105	7.454105
"1420364_at"	5.776506	5.744469	5.770076	5.911693	5.809599	5.790319	5.857105	5.895479
