"","affy_mouse430a_2","mgi_symbol"
"559","","Gm23326"
"560","","Mir7080"
"561","","Gm22334"
"562","","Mir7652"
"563","","Gm22438"
"564","","Gm24877"
"565","","Gm24630"
"566","1455767_x_at","Gm22055"
"567","1429077_x_at","Gm22055"
"568","","Gm25969"
"569","","Gm23912"
"570","1452540_a_at","Gm44454"
"571","","Mir7240"
"572","","Gm23658"
"573","","Gm22080"
"574","","Gm24936"
"575","","Gm25943"
"576","","Gm24509"
"577","","Gm24048"
"578","","n-R5s51"
"579","","Gm24928"
"580","","Gm24370"
"581","","Gm25070"
"582","","Gm25889"
"583","","Gm22511"
"584","","Gm27501"
"585","1418185_at","Gm24083"
"586","","Gm22477"
"587","","Gm23542"
"588","","n-R5s159"
"589","","Mir497b"
"590","","Gm23601"
"591","","Gm23394"
"592","","Gm24199"
"593","","Rprl2"
"594","","Gm24398"
"595","","Gm22155"
"596","","Mir7005"
"597","","Mir511"
"598","","Gm24884"
"599","","Mir34a"
"600","","Gm24648"
"601","","Gm22466"
"602","1425106_a_at","Gm22079"
"603","","Gm23645"
"604","","Gm25683"
"605","","Mir377"
"606","","Gm22223"
"607","","Gm23102"
"608","","Mir1971"
"609","","4933412A08Rik"
"610","","Gm22726"
"611","","Gm23732"
"612","","Gm26291"
"613","","Gm26265"
"614","","Gm22380"
"615","","Gm26320"
"616","1422302_s_at","Gm22774"
"617","","Gm25593"
"618","","Gm22501"
"619","1416217_a_at","Mir682"
"620","1460543_x_at","Mir682"
"621","1455035_s_at","Snord57"
"622","1426533_at","Snord57"
"623","","Mir6375"
"624","","Gm25128"
"625","","Gm23263"
"626","","Gm22138"
"627","","Gm23630"
"628","","Mir5104"
"629","1436222_at","Snord78"
"630","1455904_at","Snord78"
"631","","Gm25529"
"632","","Gm23222"
"633","","Mir216b"
"634","","Gm24916"
"635","1424537_at","Btbd35f29"
"636","","Gm23975"
"637","","Mir129b"
"638","","n-R5s156"
"639","","Gm26210"
"640","","Gm23896"
"641","","Gm27854"
"642","","Gm25591"
"643","","Gm22692"
"644","","Gm22394"
"645","","Gm25336"
"646","","Snord61"
"647","","Gm23386"
"648","","Gm26456"
"649","","Gm24222"
"650","","Gm44314"
"651","","Gm25600"
"652","","Gm25740"
"653","","Gm25722"
"654","","Gm24731"
"655","","Gm25744"
"656","","Gm24991"
"657","","Gm26059"
"658","","Gm23814"
"659","","Gm23579"
"660","","Gm25247"
"661","","Gm22264"
"662","","Gm24183"
"663","","Gm44333"
"664","","Gm23071"
"665","","Mir206"
"666","","Gm22032"
"667","","Gm24402"
"668","","Gm23766"
"669","","Gm26367"
"670","","Gm22233"
"671","","Mir669b"
"672","","Gm26245"
"673","","Gm27607"
"674","","Gm24494"
"675","","Gm22037"
"676","","Mir7211"
"677","1428083_at","Gm27533"
"678","","Gm25426"
"679","","Gm22664"
"680","","Gm26430"
"681","1438612_a_at","Mir6969"
"682","1415805_at","Mir6969"
"683","","Gm25820"
"684","1426940_at","Mir7087"
"685","","Gm25253"
"686","","Gm24268"
"687","","Gm26097"
"688","","Gm26124"
"689","","Gm25865"
"690","","Gm44335"
"691","","Gm22682"
"692","","Gm22649"
"693","","Gm24125"
"694","","Gm24158"
"695","","Gm23125"
"696","","Mir211"
"697","","Mir6358"
"698","","Gm22122"
"699","","Gm26013"
"700","","Gm27899"
"701","","Gm26398"
"702","","Gm27703"
"703","","Gm22324"
"704","","n-R5s182"
"705","","Mir6244"
"706","","Mir669d"
"707","","Gm22597"
"708","","Gm22212"
"709","","Gm22819"
"710","","Mir6371"
"711","","Gm47294"
"712","","Gm44455"
"713","","Gm24870"
"714","","Gm24075"
"715","","n-R5s204"
"716","","Mir1931"
"717","","Gm24435"
"718","","Gm24429"
"719","","Gm22215"
"720","","Gm25644"
"721","","Mir6983"
"722","","Gm24445"
"723","","n-R5s211"
"724","","Gm22938"
"725","","Gm23209"
"726","","Mirlet7g"
"727","","Gm22435"
"728","","Gm23226"
"729","","Gm27601"
"730","","n-R5s71"
"731","","Gm23534"
"732","","Gm23779"
"733","","Gm27741"
"734","","Gm22675"
"735","","Mir485"
"736","","Gm25135"
"737","","Gm22337"
"738","","Gm24185"
"739","","Mir7221"
"740","","Gm23170"
"741","1455035_s_at","Gm23650"
"742","1426533_at","Gm23650"
"743","","Gm25204"
"744","","Gm27320"
"745","","Gm23972"
"746","","Gm22908"
"747","","Gm22658"
"748","","Mir466j"
"749","","Gm25470"
"750","","Gm26213"
"751","","Mir6354"
"752","","Gm26440"
"753","","Gm22743"
"754","","Gm26372"
"755","","Gm25015"
"756","","Mir3968"
"757","","Gm25261"
"758","","Gm25064"
"759","","Gm23847"
"760","","Gm26049"
"761","","Gm44310"
"762","","Gm26467"
"763","","Gm25005"
"764","","Mir6408"
"765","","Gm25814"
"766","","n-TStga1"
"767","","Gm26310"
"768","","Gm22584"
"769","","Gm22654"
"770","","Gm23934"
"771","","Mir346"
"772","","Gm27869"
"773","","Mir5129"
"774","","Gm44325"
"775","1448245_at","Snora62"
"776","1416196_at","Snora62"
"777","","Gm23103"
"778","","Gm25965"
"779","","Gm22169"
"780","","Gm25071"
"781","","Gm24594"
"782","","Mir3473g"
"783","","Gm22671"
"784","","Gm22030"
"785","","Gm23865"
"786","","Gm26315"
"787","","Gm24579"
"788","","Gm26243"
"789","","Gm24347"
"790","","Gm25677"
"791","","Gm25486"
"792","","Gm23499"
"793","","Gm22665"
"794","","Gm22831"
"795","","Gm27993"
"796","","Gm25232"
"797","","Gm23764"
"798","","Gm22522"
"799","","Gm25337"
"800","","Mir3962"
"801","","Gm27266"
"802","","Gm25250"
"803","","Gm22469"
"804","","n-R5s34"
"805","","Gm22667"
"806","","Gm24123"
"807","","Gm24901"
"808","","Mir666"
"809","","Gm44299"
"810","","n-R5s90"
"811","","Mir410"
"812","","Snora78"
"813","","Rn7s1"
"814","","Gm44353"
"815","","Gm26485"
"816","","Gm27285"
"817","","Gm22259"
"818","","Gm25325"
"819","1419188_s_at","Ccl27a"
"820","1430375_a_at","Ccl27a"
"821","1434962_x_at","Ccl27a"
"822","","Mir7231"
"823","","Gm23247"
"824","","Mir7093"
"825","","Gm24257"
"826","","Gm26443"
"827","","Mir3110"
"828","","Gm24345"
"829","","Gm26461"
"830","1427598_at","Snord116l4"
"831","","Mir297-1"
"832","","Gm22225"
"833","","Gm27853"
"834","","Gm25984"
"835","","Gm22418"
"836","","Gm25862"
"837","","Mir6420"
"838","","Gm23958"
"839","","Gm26017"
"840","","Gm22064"
"841","","Gm27740"
"842","","Gm23864"
"843","","Gm22520"
"844","","Gm22379"
"845","","Gm22989"
"846","","Mir362"
"847","","Gm26164"
"848","","Gm23320"
"849","","Gm24548"
"850","","Rnu1a1"
"851","","Gm27591"
"852","","Gm22038"
"853","","Mir5615-2"
"854","","Snord49b"
"855","","Gm23730"
"856","","Gm22157"
"857","1424874_a_at","Mir6910"
"858","","n-R5s142"
"859","1428529_at","Snord50b"
"860","","Gm25187"
"861","","Gm44500"
"862","","Gm22235"
"863","","Gm22518"
"864","1437610_x_at","Gm22980"
"865","1455319_x_at","Gm22980"
"866","1427405_s_at","Mir705"
"867","","Mir219b"
"868","","Mir297b"
"869","","Mir3473b"
"870","","Gm44474"
"871","","Gm22085"
"872","","n-R5s92"
"873","","Gm23304"
"874","","Mirt2"
"875","","Gm22650"
"876","","n-R5s89"
"877","","Gm26078"
"878","","Gm24623"
"879","","Gm24375"
"880","","Gm22391"
"881","","Gm25585"
"882","","Gm24315"
"883","","Gm22497"
"884","","Gm22202"
"885","","Gm24256"
"886","","Scarna3b"
"887","","Gm23287"
"888","","Gm24138"
"889","","Gm25163"
"890","","Gm24951"
"891","","Gm22531"
"892","","Mir7232"
"893","","Gm22390"
"894","","Gm22370"
"895","","Gm27365"
"896","","Gm44329"
"897","","Gm26375"
"898","","Gm25188"
"899","","Gm23557"
"900","","Mir7029"
"901","","Gm24632"
"902","","Gm24272"
"903","1433675_at","Gm25855"
"904","1435660_at",""
"905","1460581_a_at","Mir7079"
"906","1455245_x_at","Mir7079"
"907","","Gm27634"
"908","","Gm26343"
"909","","Gm25897"
"910","","Gm23044"
"911","","Gm23749"
"912","","Gm24395"
"913","","Gm24131"
"914","","Gm23986"
"915","","Mir3068"
"916","","Gm24240"
"917","","Gm23706"
"918","","Gm44395"
"919","","Gm24791"
"920","","Gm22566"
"921","","Gm24709"
"922","","Gm22920"
"923","","Mirlet7i"
"924","","Gm24568"
"925","","Mir7000"
"926","","Gm25614"
"927","","Gm25193"
"928","","Mir3084-1"
"929","","Gm44334"
"930","","Mir6715"
"931","","Gm25457"
"932","","Gm24167"
"933","","Gm26022"
"934","","Gm23055"
"935","","Gm24705"
"936","","Gm24759"
"937","","Gm24135"
"938","","Gm9988"
"939","","Gm22975"
"940","","Gm24585"
"941","","Mir532"
"942","","Gm27443"
"943","","Gm24108"
"944","","Gm23315"
"945","","Gm24297"
"946","","Gm23620"
"947","","Gm27626"
"948","","Gm25776"
"949","1422702_at","Mir6951"
"950","","Gm23686"
"951","","Gm25412"
"952","","Mir802"
"953","1455767_x_at","Gm25091"
"954","1429077_x_at","Gm25091"
"955","","Gm25869"
"956","","Gm24020"
"957","","n-R5s102"
"958","1416661_at","Snora19"
"959","1456598_at",""
"960","","Gm22942"
"961","","Gm44360"
"962","","Gm22100"
"963","","Olfr290"
"964","","n-R5s30"
"965","","Mir3097"
