"","affy_mouse430a_2","mgi_symbol"
"32584","1424433_at","Msrb2"
"32585","","Msrb2"
"32586","","Gm44136"
"32587","","6430590A07Rik"
"32588","","Gm16553"
"32589","","Gm10731"
"32590","1431575_at","Clec4g"
"32591","1427428_at","Clec4g"
"32592","1455475_at","Abhd18"
"32593","1452477_at","Abhd18"
"32594","","Abhd18"
"32595","","Gm47006"
"32596","","Olfr1144-ps1"
"32597","","Maco1"
"32598","","2810410L24Rik"
"32599","","Gm36328"
"32600","1419193_a_at","Gmfg"
"32601","1419194_s_at","Gmfg"
"32602","","Gm28970"
"32603","","Gm13344"
"32604","","Gm4246"
"32605","","Gm7107"
"32606","","Gm33940"
"32607","","Gm49286"
"32608","","Prss56"
"32609","1426459_s_at","AW549877"
"32610","1421543_at","AW549877"
"32611","","AW549877"
"32612","","Gm28971"
"32613","1417151_a_at","Ntsr2"
"32614","","Pik3ip1"
"32615","1425096_a_at","Ptcd1"
"32616","1416391_at","Ptcd1"
"32617","","Ptcd1"
"32618","","Gm19156"
"32619","","Gm5622"
"32620","1424090_at","Sdcbp2"
"32621","","Scgb1b15"
"32622","1450691_at","Caskin2"
"32623","","Caskin2"
"32624","","Gm20139"
"32625","","Gm44084"
"32626","","Crebl2"
"32627","1448271_a_at","Ddx21"
"32628","1448270_at","Ddx21"
"32629","","Ddx21"
"32630","","Vmn2r89"
"32631","","Gm7213"
"32632","1421737_at","Alx4"
"32633","","Gm11965"
"32634","","Gm21785"
"32635","","Gm11964"
"32636","","Gm13321"
"32637","","Ptf1aos"
"32638","","Gm37565"
"32639","","Gm20803"
"32640","","Gm47664"
"32641","","Gm47657"
"32642","","Gm47665"
"32643","","Elmo1"
"32644","1424523_at","Elmo1"
"32645","1450208_a_at","Elmo1"
"32646","1450331_s_at","Gm3616"
"32647","","Gm20804"
"32648","","Gm28598"
"32649","1419424_at","Ptf1a"
"32650","","Gm28599"
"32651","","Gm28600"
"32652","","Ext2"
"32653","1460170_at","Ext2"
"32654","1448836_s_at","Gpn2"
"32655","","Gpn2"
"32656","","Olfr1145"
"32657","1427549_s_at","Krtap16-3"
"32658","1425431_at","Krtap16-3"
"32659","","Gpbar1"
"32660","1417553_at","Plac1"
"32661","","Gm33056"
"32662","","Gm16290"
"32663","","Gm19158"
"32664","1422204_at","Avpr1b"
"32665","","Gm20854"
"32666","","Gm7247"
"32667","","Gm37907"
"32668","","Olfr1146-ps1"
"32669","","4631422I05Rik"
"32670","","Gm17174"
"32671","1421728_at","Olig3"
"32672","","Gm49689"
"32673","","Krtap22-2"
"32674","1427686_at","Vmn2r88"
"32675","1427681_s_at","Vmn2r88"
"32676","1435447_at","Mip"
"32677","1421039_at","Mip"
"32678","1451609_at","Tspan33"
"32679","1451608_a_at","Tspan33"
"32680","1455618_x_at","Tspan33"
"32681","1425157_x_at","Tspan33"
"32682","","Tspan33"
"32683","","Snrpert"
"32684","","Gm35097"
"32685","","Gm4766"
"32686","","Pak4"
"32687","","Gm16277"
"32688","","Gm45576"
"32689","","Scgb2b16-ps"
"32690","","Olfr367-ps"
"32691","","Gm45575"
"32692","1416404_s_at","Gm8623"
"32693","","Pogk"
"32694","","Gm43359"
"32695","","Scgb1b16-ps"
"32696","","Gm43360"
"32697","","Gm26709"
"32698","1418458_at","Anapc7"
"32699","","Anapc7"
"32700","1425872_at","Gm10229"
"32701","","Spem2"
"32702","1418017_at","Pum2"
"32703","1418016_at","Pum2"
"32704","1418015_at","Pum2"
"32705","","Pum2"
"32706","","Gm2093"
"32707","","Gm38170"
"32708","","Adcy1"
"32709","1448472_at","Vars"
"32710","","Vars"
"32711","","Gm8532"
"32712","1451859_at","Krtap6-1"
"32713","","Smim20"
"32714","","Gm15632"
"32715","","Frem3"
"32716","1449059_a_at","Oxct1"
"32717","1455804_x_at","Oxct1"
"32718","1436750_a_at","Oxct1"
"32719","1428140_at","Oxct1"
"32720","","Oxct1"
"32721","1420751_at","Gm10228"
"32722","1456071_a_at","Gm19880"
"32723","","Ifnl3"
"32724","1425237_at","Krtap6-5"
"32725","","1110025L11Rik"
"32726","","Gm11350"
"32727","","Olfr368"
"32728","1427842_at","Krtap6-3"
"32729","","Gm19157"
"32730","","Taco1"
"32731","","Gm17078"
"32732","1451228_a_at","Sycn"
"32733","1434803_a_at","Sycn"
"32734","","Gm6358"
"32735","1416231_at","Vac14"
"32736","","Vac14"
"32737","","Spem1"
"32738","","AA386476"
"32739","","Gm10061"
"32740","","Gm17175"
"32741","1448267_at","Stx5a"
"32742","1449679_s_at","Stx5a"
"32743","","Stx5a"
"32744","1429739_a_at","Gm11944"
"32745","1419111_at","Ing2"
"32746","","Gm9789"
"32747","","1700028B04Rik"
"32748","1417906_at","Gm4181"
"32749","1421364_at","Lrfn1"
"32750","1418989_at","Ctse"
"32751","","Ctse"
"32752","1423599_a_at","Pdcl"
"32753","1425149_a_at","Pdcl"
"32754","","Pdcl"
"32755","","Taco1os"
"32756","1448662_at","Fzd6"
"32757","1417301_at","Fzd6"
"32758","","Fzd6"
"32759","","Gm16289"
"32760","","Vmn2r-ps111"
"32761","","Gm9156"
"32762","","Vmn2r-ps110"
"32763","1423566_a_at","Hsph1"
"32764","1425993_a_at","Hsph1"
"32765","","Hsph1"
"32766","","Gm50057"
"32767","1448740_at","Gm10355"
"32768","1447456_x_at","Dcpp3"
"32769","1459725_s_at","Dcpp3"
"32770","","Gm20447"
"32771","","Gm43467"
"32772","1425277_at","Slit1"
"32773","","Slit1"
"32774","","Gm11770"
"32775","","Gm50058"
"32776","","Gm13378"
"32777","1459725_s_at","Dcpp2"
"32778","","Gm15122"
"32779","","Gm37689"
"32780","1426984_at","Tmem94"
"32781","","Tmem94"
"32782","1423332_at","Sdcbp"
"32783","1450941_at","Sdcbp"
"32784","","Sdcbp"
"32785","","Gm13327"
"32786","","Gpr158"
"32787","","Gm49493"
"32788","1416181_at","Mesd"
"32789","","Zfp133-ps"
"32790","1427796_at","Zfp133-ps"
"32791","","Gm15853"
"32792","1424427_at","Tada1"
"32793","","Tada1"
"32794","1434047_x_at","Hnrnpa2b1"
"32795","1433829_a_at","Hnrnpa2b1"
"32796","1433830_at","Hnrnpa2b1"
"32797","1420365_a_at","Hnrnpa2b1"
"32798","","Hnrnpa2b1"
"32799","","Gm43361"
"32800","","Dzank1"
"32801","1416551_at","Atp2a2"
"32802","1427250_at","Atp2a2"
"32803","1452363_a_at","Atp2a2"
"32804","","Atp2a2"
"32805","","Gm50059"
"32806","","Gm28349"
"32807","","Gm41545"
"32808","","Gm26704"
"32809","1459725_s_at","Dcpp1"
"32810","","Pla2g4c-ps"
"32811","1424094_at","Nek9"
"32812","1460744_at","Nek9"
"32813","","Gm45268"
"32814","","Gm33104"
"32815","","Olfr1280"
"32816","","Gm21892"
"32817","","Gm28346"
"32818","","1810010K12Rik"
"32819","","Gm7891"
"32820","","Gm47936"
"32821","1425330_a_at","Gm7895"
"32822","1451669_at","Gm7895"
"32823","","Gm28345"
"32824","","Cnnm1"
"32825","1420354_at","Cnnm1"
"32826","","Gm28152"
"32827","","Olfr1281"
"32828","1425354_a_at","Aggf1"
"32829","","Aggf1"
"32830","","Gm29090"
"32831","1450728_at","Fjx1"
"32832","1422733_at","Fjx1"
"32833","","4930440C22Rik"
"32834","","Gm48563"
"32835","","Olfr1282"
"32836","","Gm13818"
"32837","1419016_at","1700034I23Rik"
"32838","","Trappc8"
"32839","1427942_at","Rassf9"
"32840","","Rassf9"
"32841","1452335_at","Mfsd8"
"32842","","Mfsd8"
"32843","","BC037032"
"32844","","Ttc25"
"32845","","1110057P08Rik"
"32846","","Fam122b"
"32847","","Gm17849"
"32848","","Osbpl8"
"32849","","Gm32036"
"32850","1448612_at","Sfn"
"32851","1435417_at","Myorg"
"32852","","Myorg"
"32853","1451201_s_at","Rnh1"
"32854","","Gm13379"
"32855","","Gm38218"
"32856","","Gm36849"
"32857","","Strip2"
"32858","1433612_at","Ap2s1"
"32859","1423789_at","Gm5904"
"32860","","Gm6249"
"32861","1421434_at","Dnah5"
"32862","","Gm44366"
"32863","","Kcnq4"
"32864","1421756_a_at","Gpr19"
"32865","","Gpr19"
"32866","1419943_s_at","Ccnb1-ps"
"32867","1416076_at","Ccnb1-ps"
"32868","1427267_at","Tnrc18"
"32869","","Tnrc18"
"32870","","Gm47938"
"32871","","Gm7443"
"32872","","Gm13426"
"32873","","Nars2"
"32874","","Gm28881"
"32875","1455143_at","Nlgn2"
"32876","","Nlgn2"
"32877","","Myo5b"
"32878","1452298_a_at","Myo5b"
"32879","1426124_a_at","Clk1"
"32880","","Clk1"
"32881","","Gm7540"
"32882","","Gm4796"
"32883","","Gm19116"
"32884","1448783_at","Slc7a9"
"32885","","Slc7a9"
"32886","","Lactbl1"
"32887","1422430_at","Fignl1"
"32888","1460746_at","Fignl1"
"32889","","Fignl1"
"32890","","Gm44524"
"32891","","Gm2011"
"32892","1452477_at","Gm2011"
"32893","","Gm16021"
"32894","","Ankrd13b"
"32895","1425220_x_at","Gm21818"
"32896","","Gm20763"
"32897","","Gm37583"
"32898","","Gm5264"
"32899","","Olfr652"
"32900","","Olfr1283"
"32901","1439771_s_at","Gm21762"
"32902","1455781_at","Gtpbp8"
"32903","","Gtpbp8"
"32904","1425160_at","Gm21731"
"32905","","Olfr653"
"32906","","Chd5"
"32907","","Gm31036"
"32908","1425220_x_at","AF067061"
"32909","","Gm45758"
"32910","","Gpr17"
"32911","1426665_at","Katnb1"
"32912","","Katnb1"
"32913","","Gm47494"
"32914","","2900052L18Rik"
"32915","1460168_at","Gm8396"
"32916","","Speer4f2"
"32917","1435840_x_at","BC147527"
"32918","","Lims2"
"32919","1424408_at","Lims2"
"32920","","Gm8835"
"32921","1437975_a_at","Gm20900"
"32922","1437976_x_at","Gm20900"
"32923","1426660_x_at","Gm20900"
"32924","1426659_a_at","Gm20900"
"32925","1451852_at","Tcstv3"
"32926","","2810454H06Rik"
"32927","","Gm5682"
"32928","1454714_x_at","Gm9347"
"32929","1437621_x_at","Gm9347"
"32930","1456471_x_at","Gm9347"
"32931","1426657_s_at","Gm9347"
"32932","","Gm20392"
"32933","","Osgin1"
"32934","1424022_at","Osgin1"
"32935","","Olfr654"
"32936","1417524_at","Cnih2"
"32937","1421309_at","Mgmt"
"32938","","Gm15793"
"32939","","Gm34396"
"32940","","Gm42939"
"32941","1448987_at","Acadl"
"32942","1448988_at","Acadl"
"32943","","Acadl"
"32944","","Gm42938"
"32945","","Krtap20-2"
"32946","","Igsf3"
"32947","","Gm47819"
"32948","","Olfr655"
"32949","1454688_x_at","Tmed10"
"32950","1439444_x_at","Tmed10"
"32951","1424707_at","Tmed10"
"32952","1424708_at","Tmed10"
"32953","1439462_x_at","Tmed10"
"32954","","Tmed10"
"32955","1421691_at","Krtap21-1"
"32956","1449919_at","Krtap6-2"
"32957","","Olfr656"
"32958","1427211_at","Krtap8-1"
"32959","","Gm45280"
"32960","","Gm45499"
"32961","","Olfr657"
"32962","","Krtap7-1"
"32963","1425152_s_at","Serpini2"
"32964","","Gm47820"
"32965","1434624_x_at","Gm5905"
"32966","","Gm47817"
"32967","1423939_a_at","Yif1a"
"32968","1423940_at","Yif1a"
"32969","","Krtap11-1"
"32970","","Gm49696"
"32971","","Gm37057"
"32972","","1700006P03Rik"
"32973","","Gm37903"
"32974","","Gm37099"
"32975","","Gm45872"
"32976","1424205_at","Smarca5"
"32977","1424207_at","Smarca5"
"32978","1424206_at","Smarca5"
"32979","","Smarca5"
"32980","","Gm37293"
"32981","","Gm13213"
"32982","","Zdhhc18"
"32983","1448363_at","Yap1"
"32984","1416487_a_at","Yap1"
"32985","","Yap1"
"32986","1419240_at","Tex14"
"32987","","Tex14"
"32988","1451439_at","Nepro"
"32989","","Nepro"
"32990","","Gm26936"
"32991","","Gm37632"
"32992","","Gm37534"
"32993","","Ighe"
"32994","","D130019J16Rik"
"32995","","Gm4258"
"32996","1452051_at","Actr3"
"32997","1434968_a_at","Actr3"
"32998","1426392_a_at","Actr3"
"32999","","Actr3"
"33000","","Gm11581"
"33001","","Gm38137"
"33002","1426172_a_at","Cd209a"
"33003","","Mir181a-1hg"
"33004","","Gm42538"
"33005","","D6Wsu163e"
"33006","1449437_at","D6Wsu163e"
"33007","","Gm37298"
"33008","","Gm21881"
"33009","","Gm37124"
"33010","","Gm21435"
"33011","","Gm26979"
"33012","","A130050O07Rik"
"33013","1416999_at","Smpd2"
"33014","","Robo3"
"33015","1451826_at","Cabp5"
"33016","1421780_a_at","Cabp5"
"33017","","Cabp5"
"33018","1460429_at","Cdc5l"
"33019","1428092_at","Cdc5l"
"33020","","Cdc5l"
"33021","","Gm26930"
"33022","1426539_at","Usp11"
"33023","","Usp11"
"33024","1427496_at","Cep152"
"33025","1416822_at","Ess2"
"33026","1416821_at","Ess2"
"33027","","Ess2"
"33028","1416199_at","Kifc3"
"33029","","Kifc3"
"33030","","Gm21999"
"33031","","Gm11885"
"33032","","Gm13645"
"33033","","Gm11880"
"33034","","Gm11882"
"33035","1420791_x_at","Speer4f1"
"33036","","Fam222a"
"33037","1459994_x_at","Tfr2"
"33038","1425381_a_at","Tfr2"
"33039","","Tfr2"
"33040","1449412_at","Mien1"
"33041","","2810047C21Rik1"
"33042","1432083_a_at","Lrrc23"
"33043","","Lrrc23"
"33044","","Gm13345"
"33045","","Hectd4"
"33046","","4921504E06Rik"
"33047","","Gm47142"
"33048","","Gm47143"
"33049","","Gm28639"
"33050","","Gm13500"
"33051","","Gm13497"
"33052","1426162_a_at","Gm5175"
"33053","","Gm13499"
"33054","1424919_at","Erbb2"
"33055","","Erbb2"
"33056","","1700057H21Rik"
"33057","","Chrnd"
"33058","1420761_at","Chrnd"
"33059","","B230354K17Rik"
"33060","1424515_at","B230354K17Rik"
"33061","1424516_at","B230354K17Rik"
"33062","","Gm13494"
"33063","","Gm9104"
"33064","","Spats1"
"33065","","Gm7047"
"33066","","Fam20a"
"33067","","Gm5341"
"33068","","Cdc42bpg"
"33069","1439962_at","2310010J17Rik"
"33070","1417953_at","Fam3c"
"33071","1448904_at","Fam3c"
"33072","","Fam3c"
"33073","1425385_a_at","Ighg2c"
"33074","1450811_at","Sprr2j-ps"
"33075","","Ldha"
"33076","1419737_a_at","Ldha"
"33077","","Gm32405"
"33078","","B630019K06Rik"
"33079","","Gm37645"
"33080","","A630081D01Rik"
"33081","1423672_at","Ttc30b"
"33082","","Gm43125"
"33083","1436665_a_at","Ltbp4"
"33084","","Ltbp4"
"33085","1448540_a_at","0610012G03Rik"
"33086","1417002_at","0610012G03Rik"
"33087","1417003_at","0610012G03Rik"
"33088","","1700120E14Rik"
"33089","1423704_at","Pla2g15"
"33090","1422341_s_at","Pla2g15"
"33091","","Pla2g15"
"33092","","Gm50268"
"33093","1424688_at","Creb3l3"
"33094","","Creb3l3"
"33095","1419744_at","H2-DMb2"
"33096","1449580_s_at","H2-DMb2"
"33097","","Gm29505"
"33098","","Gm11489"
"33099","1454712_at","Slc25a51"
"33100","1433816_at","Slc25a51"
"33101","1427425_at","Slc25a51"
"33102","","Gm47257"
"33103","","Gm21862"
"33104","","Gm28823"
"33105","","Gm28409"
"33106","","Gm45495"
"33107","","Scgb2b32-ps"
"33108","","Gm42745"
"33109","1435659_a_at","Tpi1"
"33110","1452927_x_at","Tpi1"
"33111","1415918_a_at","Tpi1"
"33112","","Tpi1"
"33113","","Gm38843"
"33114","","Ints10"
"33115","1423789_at","BC005624"
"33116","","BC005624"
"33117","","Gm48264"
"33118","","Gm14585"
"33119","","Dnah10"
"33120","","Fam122c"
"33121","","Trbv3"
"33122","1419677_at","Masp1"
"33123","1438602_s_at","Masp1"
"33124","1438603_x_at","Masp1"
"33125","1425985_s_at","Masp1"
"33126","1455346_at","Masp1"
"33127","","Masp1"
"33128","","Gm47049"
"33129","","Gm5232"
"33130","1460739_at","Zmiz2"
"33131","","Zmiz2"
"33132","","Gm46317"
"33133","1415711_at","Arfgef1"
"33134","","Arfgef1"
"33135","","Gm48712"
"33136","","Gm11351"
"33137","","Gm15319"
"33138","","Cyp4f39"
"33139","1438902_a_at","Hsp90aa1"
"33140","1426645_at","Hsp90aa1"
"33141","1437497_a_at","Hsp90aa1"
"33142","","Gm11352"
"33143","","Gm4405"
"33144","","1700092E19Rik"
"33145","1419509_a_at","Nagk"
"33146","","Nagk"
"33147","","Gm28383"
"33148","1453589_a_at","2610005L07Rik"
"33149","1429041_at","2610005L07Rik"
"33150","","Gm43124"
"33151","1427277_at","Six1"
"33152","1424631_a_at","Ighg2b"
"33153","1426174_s_at","Ighg2b"
"33154","","1700119H24Rik"
"33155","","Gm47881"
"33156","","Gm7807"
"33157","","6820431F20Rik"
"33158","1453589_a_at","6820431F20Rik"
"33159","1452997_at","6820431F20Rik"
"33160","1429041_at","6820431F20Rik"
"33161","1429040_at","6820431F20Rik"
"33162","1449342_at","Hacd2"
"33163","","Hacd2"
"33164","1416412_at","Nsmaf"
"33165","","Nsmaf"
"33166","1436760_a_at","Gm11353"
"33167","","Mgat4f"
"33168","","Trbv4"
"33169","1427582_at","Fgf6"
"33170","1427667_s_at","5830405F06Rik"
"33171","1431653_at","5830405F06Rik"
"33172","1427666_a_at","5830405F06Rik"
"33173","","Nfrkb"
"33174","1427667_s_at","Trbv5"
"33175","1431653_at","Trbv5"
"33176","1427666_a_at","Trbv5"
"33177","","Cdkn2aip"
"33178","","Gm7002"
"33179","1448280_at","Syp"
"33180","","Syp"
"33181","","Gm21691"
"33182","","Gm15846"
"33183","","Gm47721"
"33184","","Gm47558"
"33185","","Gm7611"
"33186","","Gm7614"
"33187","","Olfr1147-ps1"
"33188","","Snph"
"33189","","Olfr1148"
"33190","","Mylk"
"33191","1425506_at","Mylk"
"33192","1425504_at","Mylk"
"33193","1425505_at","Mylk"
"33194","1432474_a_at","Krtcap3"
"33195","1417865_at","Tnfaip1"
"33196","1417866_at","Tnfaip1"
"33197","1448863_a_at","Tnfaip1"
"33198","1450006_at","Ncoa4"
"33199","1420808_at","Ncoa4"
"33200","","Ncoa4"
"33201","1417049_at","Rhd"
"33202","","Rhd"
"33203","1422106_a_at","Spsb2"
"33204","1451585_x_at","Spsb2"
"33205","","E030037K01Rik"
"33206","","Gm48334"
"33207","1415820_x_at","Gm5171"
"33208","1418583_at","Hint3"
"33209","","Hint3"
"33210","","Gm32591"
"33211","","Gm15770"
"33212","1418656_at","Gm10074"
"33213","1424619_at","Gm7935"
"33214","","Gm20545"
"33215","","Gm29402"
"33216","","Gm28384"
"33217","1435324_x_at","Gm15387"
"33218","1425048_a_at","Gm15387"
"33219","1439463_x_at","Gm15387"
"33220","","Gm18604"
"33221","","Gm20391"
"33222","","Gm14504"
"33223","","Gm12352"
"33224","","Scgb2b17"
"33225","","Gm6633"
"33226","","Gm9501"
"33227","","Gm4252"
"33228","","Gm5752"
"33229","","Gm20546"
"33230","","Rpl7a-ps3"
"33231","","4930423D24Rik"
"33232","","Gm16479"
"33233","1460561_x_at","Selenow"
"33234","1416521_at","Selenow"
"33235","","Mtss2"
"33236","","2310069B03Rik"
"33237","1419007_at","Zp3"
"33238","","Gm11772"
"33239","1448959_at","Ndufs4"
"33240","1418117_at","Ndufs4"
"33241","","Ndufs4"
"33242","","Gm45338"
"33243","","Bahcc1"
"33244","","Gm18787"
"33245","","1700040F17Rik"
"33246","","Gm42882"
"33247","","Gm14703"
"33248","","Gm15479"
"33249","1427168_a_at","Col14a1"
"33250","","Col14a1"
"33251","1428455_at","Col14a1"
"33252","","Gm31786"
"33253","","Gm11684"
"33254","1451699_at","Gm30124"
"33255","1449124_at","Rgl1"
"33256","1418535_at","Rgl1"
"33257","","Rgl1"
"33258","","Gm5977"
"33259","","Gm3665"
"33260","1449143_at","Rtp4"
"33261","1418580_at","Rtp4"
"33262","","Gm21989"
"33263","","Sly"
"33264","","Gm11683"
"33265","","Asap2"
"33266","1451899_a_at","Gtf2ird1"
"33267","","Gtf2ird1"
"33268","","Gm30853"
"33269","","1700012B07Rik"
"33270","","Gm48799"
"33271","1416175_a_at","Vdac3-ps1"
"33272","","4930407I19Rik"
"33273","","Gm6575"
"33274","","Ccdc201"
"33275","1419796_at","Gm15934"
"33276","","Ncoa7"
"33277","1418942_at","Ift74"
"33278","","Ift74"
"33279","","1700023F02Rik"
"33280","","Gm47433"
"33281","","Popdc3"
"33282","1423856_at","Popdc3"
"33283","","Gm49514"
"33284","","Olfr658"
"33285","1450921_at","Aptx"
"33286","","Aptx"
"33287","","Gm43777"
"33288","","Gm29721"
"33289","","Usp17le-ps"
"33290","","Gm33936"
"33291","","Olfr659"
"33292","1450331_s_at","Vmn2r41"
"33293","1450970_at","Got1"
"33294","","Got1"
"33295","1434045_at","Cdkn1b"
"33296","1419497_at","Cdkn1b"
"33297","","Gm28364"
"33298","","Gm13777"
"33299","","Olfr660-ps1"
"33300","1454754_a_at","Aamp"
"33301","","Aamp"
"33302","","Traf3ip1"
"33303","","Olfr661"
"33304","","Gm28165"
"33305","","Gm15696"
"33306","","Gm15694"
"33307","","Gm28709"
"33308","1423045_at","Ncbp2"
"33309","1450847_at","Ncbp2"
"33310","1423046_s_at","Ncbp2"
"33311","","Gm20416"
"33312","","Gm28965"
"33313","","Gm17844"
"33314","","Gm21868"
"33315","","Gm43630"
"33316","1426750_at","Flnb"
"33317","","Flnb"
"33318","","Gm47323"
"33319","","Gm21943"
"33320","","Nsd3"
"33321","","Ccdc103"
"33322","1425048_a_at","Hmgb1-ps6"
"33323","","Senp5"
"33324","1418881_at","Necab2"
"33325","","Fbxl4"
"33326","","Gm13709"
"33327","","Gm9472"
"33328","","Trbv6"
"33329","1452353_at","Gpr155"
"33330","","Gpr155"
"33331","1451125_at","Paip2b"
"33332","","Paip2b"
"33333","1422735_at","Foxq1"
"33334","","Ttc30a2"
"33335","","Trbv7"
"33336","","Ppfia1"
"33337","","Sh3rf2"
"33338","1421585_at","Fam187a"
"33339","1424012_at","Ttc30a1"
"33340","1426094_at","Rhbdl1"
"33341","","Gm5312"
"33342","","Gm37569"
"33343","","Gm28139"
"33344","","Gm40477"
"33345","","Gm34150"
"33346","","Gm6342"
"33347","","Gm34093"
"33348","","Gm19179"
"33349","","Gm50185"
"33350","","Gm50194"
"33351","","Gm34636"
"33352","","Gm47894"
"33353","","Gm31181"
"33354","1423105_a_at","Yeats4"
"33355","1424357_at","Tmem45b"
"33356","","Tmem45b"
"33357","","Ccdc172"
"33358","","Gm20467"
"33359","","Gm18777"
"33360","","Gm47895"
"33361","1419457_at","Arhgef28"
"33362","1419458_at","Arhgef28"
"33363","","Arhgef28"
"33364","","Gm42941"
"33365","1451071_a_at","Atp1a1"
"33366","1423653_at","Atp1a1"
"33367","","Atp1a1"
"33368","1425827_at","Nkx2-3"
"33369","1452528_a_at","Nkx2-3"
"33370","","Gm47896"
"33371","","Gm34922"
"33372","","Gm47897"
"33373","1423419_at","Lig3"
"33374","1431715_a_at","Lig3"
"33375","1437198_at","Lig3"
"33376","1425865_a_at","Lig3"
"33377","1453986_at","Lig3"
"33378","1424776_a_at","Slc25a28"
"33379","","Slc25a28"
"33380","1450199_a_at","Stab1"
"33381","","Stab1"
"33382","","Gm37900"
"33383","1429582_at","Nacc2"
"33384","1417152_at","Nacc2"
"33385","1417153_at","Nacc2"
"33386","","Nacc2"
"33387","","Gm16419"
"33388","","Gm8927"
"33389","","5033425B01Rik"
"33390","","Gm47322"
"33391","1426613_a_at","Gm8162"
"33392","1422176_at","Fgf23"
"33393","","4930434F21Rik"
"33394","","Gm28532"
"33395","1427956_at","Gm8930"
"33396","","Gm49224"
"33397","","Gm48772"
"33398","","Gm6593"
"33399","1450331_s_at","Vmn2r42"
"33400","","Vmn2r42"
"33401","","Gm37944"
"33402","1433765_at","Ube2o"
"33403","","Ube2o"
"33404","","Tmem256"
"33405","","Gm35177"
"33406","","Gm48277"
"33407","1417317_s_at","Rpl35a-ps6"
"33408","","Wdr66"
"33409","","Tcp11l1"
"33410","1451267_at","Sharpin"
"33411","1424165_a_at","Sharpin"
"33412","","4930448F12Rik"
"33413","1418043_at","Abcc5"
"33414","1427565_a_at","Abcc5"
"33415","1418042_a_at","Abcc5"
"33416","1435683_a_at","Abcc5"
"33417","1438056_x_at","Abcc5"
"33418","","Abcc5"
"33419","1435685_x_at","Abcc5"
"33420","1435684_at","Abcc5"
"33421","1426767_at","Rhot2"
"33422","1426822_at","Rhot2"
"33423","","Rhot2"
"33424","","Gm48800"
"33425","","Gm49733"
"33426","1418918_at","Igfbp1"
"33427","","Lrrc19"
"33428","1420786_a_at","Gm21677"
"33429","","E130310I04Rik"
"33430","1424802_a_at","Luc7l3"
"33431","1451485_at","Luc7l3"
"33432","","Luc7l3"
"33433","","Gm29288"
"33434","1433487_at","Clcn3"
"33435","1438366_x_at","Clcn3"
"33436","1416610_a_at","Clcn3"
"33437","1433486_at","Clcn3"
"33438","","Clcn3"
"33439","","Gm18861"
"33440","","Liph"
"33441","1420786_a_at","Gm21693"
"33442","","Gm28533"
"33443","","Gm43629"
"33444","","Alx1"
"33445","","Gm28966"
"33446","","Gm15549"
"33447","","Gm12390"
"33448","1426925_at","Rc3h2"
"33449","1426924_at","Rc3h2"
"33450","","Rc3h2"
"33451","","Gm21139"
"33452","1424064_at","Rab1b"
"33453","","Rab1b"
"33454","","Cyp26b1"
"33455","","Gm43027"
"33456","1455767_x_at","Gm43028"
"33457","1429077_x_at","Gm43028"
"33458","1451121_a_at","Nop53"
"33459","1423803_s_at","Nop53"
"33460","1452409_at","Nop53"
"33461","","Nop53"
"33462","","1700052I22Rik"
"33463","","Gm42937"
"33464","1449021_at","Rpp21"
"33465","","Gm15857"
"33466","1420763_at","Klk4"
"33467","","Gm43112"
"33468","","Gm43111"
"33469","","Scgb1b17"
"33470","1419250_a_at","Cdk14"
"33471","1453956_a_at","Cdk14"
"33472","1419249_at","Cdk14"
"33473","","Cdk14"
"33474","1451390_s_at","Zfand2b"
"33475","1424521_at","Zfand2b"
"33476","","Zfand2b"
"33477","1424723_s_at","Cstf3"
"33478","","Cstf3"
"33479","","Trbv9"
"33480","","Gm49885"
"33481","","Trbv10"
"33482","1417875_at","Ddx50"
"33483","","Ddx50"
"33484","","Trbv8"
"33485","","Trbv11"
"33486","","Gm11377"
"33487","","1700018A04Rik"
"33488","","Gm13554"
"33489","","Gm12465"
"33490","","Gm12466"
"33491","","Gm20337"
"33492","","Gm12467"
"33493","","Gm12475"
"33494","","Gm17028"
"33495","","Smc2os"
"33496","1425799_at","Fmo4"
"33497","","Fmo4"
"33498","","Grxcr1"
"33499","1419710_at","Nxph3"
"33500","","Gm11378"
"33501","","Trbv12-1"
"33502","1415790_at","Ublcp1"
"33503","1415788_at","Ublcp1"
"33504","1415789_a_at","Ublcp1"
"33505","1454947_a_at","Ublcp1"
"33506","","Ublcp1"
"33507","","Cstdc7"
"33508","","Trbv13-1"
"33509","","Gm11742"
"33510","","4930558C23Rik"
"33511","","Gm43025"
"33512","","Klk2-ps"
"33513","1425221_at","Agr3"
"33514","","Agr3"
"33515","","Gm14283"
"33516","","Gm5070"
"33517","","Gm28792"
"33518","","Gm9173"
"33519","","8030462N17Rik"
"33520","1432013_a_at","Mtfr2"
"33521","","Mtfr2"
"33522","","Gm31408"
"33523","","Apobec4"
"33524","","Gm18226"
"33525","","Gm49784"
"33526","","Lnpep"
"33527","","Gm7278"
"33528","","Gm14510"
"33529","","Gm28961"
"33530","1419263_a_at","Gm9774"
"33531","1438170_x_at","Gm9774"
"33532","1450230_at","Vwa7"
"33533","","Gm48284"
"33534","","Gm45824"
"33535","","Gm35371"
"33536","1419540_at","Fthl17b"
"33537","","Vmn2r60"
"33538","1425767_a_at","Six4"
"33539","1427701_a_at","Six4"
